date,open,high,low,close,adjusted_close,volume
2023-02-01,1927.62,1956.3,1920.645,1953.215,1953.215,56
2023-02-02,1953.2,1959.74,1911.345,1915.07,1915.07,234
2023-02-03,1915.085,1918.615,1861.45,1865.825,1865.825,300
2023-02-05,1864.25,1869.965,1863.785,1865.55,1865.55,22
2023-02-06,1865.545,1881.275,1863.13,1868.55,1868.55,32
2023-02-07,1868.55,1884.43,1865.04,1873.02,1873.02,38
2023-02-08,1873.025,1886.68,1869.09,1875.045,1875.045,41
2023-02-09,1875.035,1890.26,1859.02,1862.41,1862.41,105
2023-02-10,1862.425,1872.305,1852.835,1865.44,1865.44,71
2023-02-12,1864.09,1865.315,1862.75,1862.835,1862.835,27
2023-02-13,1862.845,1866.625,1850.525,1854.43,1854.43,86
2023-02-14,1854.44,1870.41,1843.36,1854.975,1854.975,79
2023-02-15,1854.995,1860.17,1830.59,1836.465,1836.465,151
2023-02-16,1836.47,1845.36,1827.635,1834.42,1834.42,68
2023-02-17,1834.415,1843.63,1818.92,1842.7,1842.7,104
2023-02-19,1841.36,1841.76,1838.5,1838.765,1838.765,35
2023-02-20,1838.785,1847.6,1837.4,1841.82,1841.82,27
2023-02-21,1841.825,1844.005,1830.285,1835.62,1835.62,82
2023-02-22,1835.63,1846.11,1823.59,1825.2,1825.2,85
2023-02-23,1825.22,1833.835,1817.555,1823.275,1823.275,61
2023-02-24,1823.29,1827.875,1809.035,1810.86,1810.86,98
2023-02-26,1812.095,1813.145,1811.315,1811.835,1811.835,24
2023-02-27,1811.83,1820.185,1806.75,1817.23,1817.23,48
2023-02-28,1817.225,1831.205,1804.75,1825.675,1825.675,88
2023-03-01,1825.665,1844.5,1823.135,1836.675,1836.675,33
2023-03-02,1836.65,1839.045,1830.095,1837.915,1837.915,55
2023-03-03,1837.895,1856.36,1837.845,1855.375,1855.375,20
2023-03-05,1853.84,1854.2,1852.225,1852.36,1852.36,28
2023-03-06,1852.365,1858.595,1845.15,1846.44,1846.44,58
2023-03-07,1846.43,1851.72,1812.785,1814.01,1814.01,202
2023-03-08,1814.03,1824.29,1809.45,1815.29,1815.29,45
2023-03-09,1815.295,1835.8,1812.02,1831.645,1831.645,38
2023-03-10,1831.66,1870.22,1827.795,1867.19,1867.19,41
2023-03-12,1883.36,1894.315,1875.86,1877.875,1877.875,59
2023-03-13,1877.87,1914.655,1871.58,1912.125,1912.125,53
2023-03-14,1912.13,1914.215,1895.405,1903.165,1903.165,107
2023-03-15,1903.17,1937.39,1885.76,1921.25,1921.25,111
2023-03-16,1921.26,1933.52,1907.565,1921.41,1921.41,91
2023-03-17,1921.415,1988.585,1918.335,1988.24,1988.24,36
2023-03-19,1985.68,1988.175,1975.115,1977.05,1977.05,73
2023-03-20,1977.04,2009.855,1965.945,1976.705,1976.705,76
2023-03-21,1976.71,1985.215,1935.485,1943.215,1943.215,228
2023-03-22,1943.22,1978.905,1934.34,1969.745,1969.745,65
2023-03-23,1969.755,2003.4,1966.39,1991.405,1991.405,37
2023-03-24,1991.4,2003.015,1975.27,1978.915,1978.915,100
2023-03-26,1976.725,1976.82,1969.445,1975.77,1975.77,56
2023-03-27,1975.76,1978.805,1944.035,1958.18,1958.18,180
2023-03-28,1958.185,1975.35,1949.215,1972.005,1972.005,65
2023-03-29,1972.01,1972.955,1958.88,1963.295,1963.295,86
2023-03-30,1963.3,1984.355,1955.485,1978.55,1978.55,59
2023-03-31,1978.54,1987.675,1966.97,1969.5,1969.5,78
2023-04-02,1966.42,1967.53,1957.07,1957.12,1957.12,67
2023-04-03,1957.11,1990.585,1949.825,1985.015,1985.015,57
2023-04-04,1985.005,2025.075,1976.99,2021.81,2021.81,60
2023-04-05,2021.805,2032.145,2010.145,2020.325,2020.325,77
2023-04-06,2020.33,2021.01,2000.905,2007.445,2007.445,116
2023-04-09,1997.885,2006.625,1997.16,2005.575,2005.575,23
2023-04-10,2005.565,2005.955,1981.705,1992.485,1992.485,138
